Player,Role,Position,Foot,Height,Weight,Birth,Nationality,Club,Wage,Expiration,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,6Seasons*,Non-PenaltyGoals,npxG:Non-PenaltyxG,ShotsTotal,Assists,xAG:Exp.AssistedGoals,npxG+xAG,Shot-CreatingActions,PassesAttempted,PassCompletion%,ProgressivePasses,ProgressiveCarries,SuccessfulTake-Ons,Touches(AttPen),ProgressivePassesRec,Tackles,Interceptions,Blocks,Clearances,AerialsWon,PSxG-GA,GoalsAgainst,SavePercentage,PSxG/SoT,Save%(PenaltyKicks),CleanSheetPercentage,Touches,Launch%,GoalKicks,Avg.LengthofGoalKicks,CrossesStopped%,Def.ActionsOutsidePen.Area,Avg.DistanceofDef.Actions,3Seasons*
Marvin Schwäbe,GK,,Right,189cm,86kg,"April 25, 1995",Germany,Köln,"23,077",2027.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,1.71,66.5,0.36,0.0,8.6,41.09,27.7,4.63,34.5,3.2,0.63,12.7,
Timo Hübers,DF,(CB),Right,190cm,82kg,"July 20, 1996",Germany,Köln,"21,731",2026.0,,,,,,,0.06,0.09,0.78,0.0,0.01,0.1,0.69,56.42,84.6,3.17,0.6,0.19,1.16,0.09,1.95,2.2,1.66,5.3,3.11,,,,,,,,,,,,,,
Linton Maina,FW-MF,(AM),Right,173cm,69kg,"June 23, 1999",Germany,Köln,"6,923",2025.0,,,,,,,0.04,0.09,1.42,0.18,0.15,0.24,2.61,28.89,73.4,2.61,4.82,1.06,3.81,7.17,0.84,0.27,0.62,0.49,0.0,,,,,,,,,,,,,,
Rasmus Carstensen,DF,"(FB,",Right,187cm,76kg,"October 11, 2000",Denmark,Köln,"5,769",2024,,,,,,,0.0,0.04,0.5,0.0,0.09,0.14,1.89,44.7,71.7,2.77,1.77,0.72,1.89,4.71,2.5,1.11,2.11,2.77,0.83,,,,,,,,,,,,,,
Jan Thielmann,FW-MF,,Right,178cm,66kg,"May 26, 2002",Germany,Köln,"23,077",2026.0,,,,,,,0.05,0.13,1.81,0.05,0.09,0.23,2.86,30.55,65.6,3.02,2.91,1.21,2.25,4.67,1.54,0.55,1.87,1.59,1.26,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.06,0.06,0.61,0.0,0.07,0.13,1.94,42.58,71.1,2.36,2.6,2.0,1.27,2.85,3.39,1.21,1.94,2.18,1.03,,,,,,,,,,,,,,
Denis Huseinbasic,MF,,Right,178cm,73kg,"July 3, 2001",Germany,Köln,"4,615",2025.0,,,,,,,0.06,0.03,0.56,0.19,0.03,0.06,1.92,41.97,85.3,4.89,1.61,0.5,0.5,1.42,1.86,0.68,1.55,0.62,0.5,,,,,,,,,,,,,,
Luca Waldschmidt,FW-MF,,Left,177cm,60kg,"May 19, 1996",Germany,Köln,"65,385",2024.0,,,,,,,0.34,0.24,3.53,0.0,0.09,0.33,3.36,34.03,71.6,3.7,2.27,1.34,2.44,4.87,1.34,0.5,1.51,0.67,0.42,,,,,,,,,,,,,,
Faride Alidou,FW,,Right,186cm,83kg,"July 18, 2001",Germany,Köln,"9,231",2024.0,,,,,,,0.35,0.17,2.11,0.0,0.05,0.21,2.64,23.29,66.4,3.08,3.87,1.93,3.43,7.47,0.88,0.7,1.76,1.32,1.14,,,,,,,,,,,,,,
Benno Schmitz,DF,"(FB,",Right,182cm,74kg,"November 17, 1994",Germany,Köln,"17,308",2024.0,,,,,,,0.0,0.01,0.59,0.07,0.01,0.04,1.99,55.5,69.6,5.9,1.84,0.37,0.59,3.54,1.84,0.74,1.55,2.29,1.18,,,,,,,,,,,,,,
Sargis Adamyan,FW-MF,,Right,184cm,76kg,"May 23, 1993",Armenia,Köln,"11,538",2026.0,,,,,,,0.12,0.48,3.62,0.24,0.21,0.69,3.62,21.47,71.9,2.17,1.93,0.84,5.31,4.71,1.69,0.72,1.57,0.84,1.45,,,,,,,,,,,,,,
Dominique Heintz,DF,"(CB,",Left,189cm,87kg,"August 15, 1993",Germany,Köln,"19,231",2026.0,,,,,,,0.0,0.01,0.28,0.0,0.06,0.07,1.67,57.21,80.2,3.63,0.98,0.56,0.28,1.95,2.51,0.7,0.98,3.35,1.67,,,,,,,,,,,,,,
Steffen Tigges,FW,,Left,195cm,82kg,"July 31, 1998",Germany,Köln,"12,692",2026.0,,,,,,,0.27,0.32,3.22,0.0,0.11,0.43,2.28,24.28,55.2,1.21,0.67,0.54,4.83,5.37,1.21,0.27,0.4,0.8,4.56,,,,,,,,,,,,,,
Mark Uth,FW-MF,(AM),Left,185cm,68kg,"August 24, 1991",Germany,Köln,"34,615",2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philipp Pentke,GK,,Right,190cm,83kg,"May 1, 1985",Germany,Köln,"6,538",2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthias Köbbing,GK,,Both,194cm,93kg,"May 28, 1997",Germany,Köln,"2,308",2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schuhen,GK,,Both,188cm,84kg,"January 13, 1993",Germany,Darmstadt 98,"14,423",2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.18,2.45,62.0,0.34,50.0,10.3,51.28,35.9,9.24,48.3,5.1,1.72,16.7,
Alexander Brunst,GK,,Right,195cm,87kg,"July 7, 1995",Germany,Darmstadt 98,"4,615",2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morten Behrens,GK,,Right,193cm,89kg,"April 1, 1997",Germany,Darmstadt 98,"2,692",2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Tah,DF,(CB),Right,193cm,97kg,"February 11, 1996",Germany,Leverkusen,"54,423",2025.0,,,,,,,0.1,0.06,0.76,0.02,0.01,0.07,0.69,75.93,94.3,4.5,0.49,0.17,1.1,0.12,0.86,0.56,0.83,3.23,2.2,,,,,,,,,,,,,,
Edmond Tapsoba,DF,(CB),Right,190cm,79kg,"February 2, 1999",Burkina,Leverkusen,"96,154",2028.0,,,,,,,0.06,0.06,0.7,0.03,0.03,0.1,1.35,84.66,90.2,7.14,1.94,0.68,0.97,0.62,1.26,0.79,1.15,2.58,2.14,,,,,,,,,,,,,,
Piero Hincapié,DF,"(CB,",Left,182cm,64kg,"January 9, 2002",Ecuador,Leverkusen,"40,000",2027.0,,,,,,,0.04,0.11,0.91,0.07,0.04,0.14,1.33,83.73,90.0,5.6,2.28,0.28,1.47,2.45,1.89,0.88,0.91,2.14,1.89,,,,,,,,,,,,,,
Matej Kovar,GK,,Right,184cm,77kg,"May 17, 2000",Czech,Leverkusen,"14,423",2027.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,0.7,85.0,0.27,0.0,50.0,33.6,12.6,5.2,27.5,10.3,1.3,15.8,
Nadiem Amiri,MF,(AM-CM),Right,178cm,72kg,"October 27, 1996",Germany,Mainz 05,"54,423",2024.0,,,,,,,0.07,0.1,2.5,0.21,0.25,0.35,5.91,61.62,74.2,6.19,1.67,1.53,1.39,1.88,1.74,1.04,0.97,0.9,0.63,,,,,,,,,,,,,,
Niklas Lomb,GK,,Right,188cm,83kg,"July 28, 1993",Germany,Leverkusen,"10,962",2027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odilon Kossounou,DF,,Right,188cm,72kg,"January 4, 2001",Côte d'Ivoire,Leverkusen,"31,346",2026.0,,,,,,,0.05,0.03,0.19,0.00,0.03,0.06,1.52,68.68,88.3,6.23,1.95,1.05,0.57,1.19,1.52,1.43,1.38,2.09,1.09,,,,,,,,,,,,,,
Josip Stanisic,DF,,Right,186cm,73kg,"April 2, 2000",Croatia,Leverkusen,"36.346",2024.0,,,,,,,0.09,0.03,0.47,0.19,0.10,0.14,1.75,70.82,90.2,5.49,3.08,0.71,1.14,3.60,2.32,0.62,1.04,1.71,0.66,,,,,,,,,,,,,,
Alejandro Grimaldo,DF,,Left,170cm,69kg,"September 20, 1995",Spain,Leverkusen,"115,385",2027.0,,,,,,,0.29,0.16,2.15,0.45,0.28,0.44,4.20,67.97,82.2,5.05,2.87,0.69,3.27,8.17,1.52,0.67,0.98,1.17,0.35,,,,,,,,,,,,,,
Granit Xhaka,MF,,Left,185cm,82kg,"September 27, 1992",Switzerland,Leverkusen,"79,808",2028.0,,,,,,,0.10,0.07,1.28,0.02,0.09,0.16,3.68,97.28,91.7,11.11,1.93,0.42,0.64,1.58,1.18,0.52,0.89,1.36,0.74,,,,,,,,,,,,,,
Robert Andrich,MF,,Right,185cm,78kg,"September 22, 1994",Germany,Leverkusen,"30,769",2026.0,,,,,,,0.12,0.07,1.11,0.12,0.07,0.13,1.88,74.76,89.4,4.84,0.96,0.27,0.88,0.50,1.54,1.11,0.81,0.84,1.19,,,,,,,,,,,,,,
Exequiel Palacios,DF,,Right,177cm,69kg,"October 5, 1998",Argentina,Leverkusen,"96,154",2028.0,,,,,,,0.07,0.08,1.16,0.18,0.16,0.23,2.80,95.79,90.9,7.75,1.23,0.84,1.16,2.31,3.19,1.44,1.19,0.88,0.39,,,,,,,,,,,,,,
Florian Wirtz,FW,,Right,175cm,68kg,"May 3, 2003",Germany,Leverkusen,"86,538",2027.0,,,,,,,0.37,0.28,2.32,0.40,0.29,0.58,6.50,68.59,81.7,8.11,4.95,2.95,6.06,10.82,0.92,0.37,1.34,0.13,0.29,,,,,,,,,,,,,,
Jonas Hofmann,FW,,Right,176cm,69kg,"July 14, 1992",Germany,Leverkusen,"76,923",2027.0,,,,,,,0.35,0.24,2.35,0.32,0.35,0.59,6.78,64.92,80.1,5.27,2.99,0.70,4.85,9.03,1.12,0.39,0.88,0.28,0.14,,,,,,,,,,,,,,
