Player,Role,Position,Foot,Height,Weight,Birth,Nationality,Club,Wage,Expiration,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,6Seasons*,Non-PenaltyGoals,npxG:Non-PenaltyxG,ShotsTotal,Assists,xAG:Exp.AssistedGoals,npxG+xAG,Shot-CreatingActions,PassesAttempted,PassCompletion%,ProgressivePasses,ProgressiveCarries,SuccessfulTake-Ons,Touches(AttPen),ProgressivePassesRec,Tackles,Interceptions,Blocks,Clearances,AerialsWon,PSxG-GA,GoalsAgainst,SavePercentage,PSxG/SoT,Save%(PenaltyKicks),CleanSheetPercentage,Touches,Launch%,GoalKicks,Avg.LengthofGoalKicks,CrossesStopped%,Def.ActionsOutsidePen.Area,Avg.DistanceofDef.Actions,3Seasons*
Nicolas Höfler,MF,"(CM-DM,",Right,181cm,78kg,"March 9, 1990",Germany,Freiburg,"17,308",2024.0,,,,,,,0.03,0.04,0.73,0.03,0.02,0.06,1.3,47.24,86.2,3.8,0.54,0.38,0.81,0.49,2.47,1.41,1.25,1.71,1.79,,,,,,,,,,,,,,
Ritsu Doan,FW-MF,"(AM-WM,",Left,172cm,69kg,"June 16, 1998",Japan,Freiburg,"16,154",2024.0,,,,,,,0.24,0.2,1.5,0.12,0.16,0.36,3.06,29.19,71.2,3.03,2.37,1.77,2.64,5.49,2.16,0.42,1.26,1.02,0.84,,,,,,,,,,,,,,
Manuel Gulde,DF,(CB),Right,179cm,74kg,"February 12, 1991",Germany,Freiburg,"9,231",2024.0,,,,,,,0.07,0.05,0.41,0.0,0.02,0.07,0.72,53.07,86.8,3.5,0.51,0.07,0.62,0.17,1.65,1.27,0.86,3.36,2.06,,,,,,,,,,,,,,
Kiliann Sildillia,DF,,Right,186cm,71kg,"May 16, 2002",France,Freiburg,"6,154",2026.0,,,,,,,0.04,0.08,0.52,0.04,0.04,0.12,1.79,59.11,73.6,3.88,1.42,0.75,1.19,3.76,2.05,0.89,1.53,2.83,1.49,,,,,,,,,,,,,,
Roland Sallai,FW-MF,(AM),Right,183cm,77kg,"May 22, 1997",Hungary,Freiburg,"13,846",2025.0,,,,,,,0.27,0.34,2.99,0.19,0.19,0.53,3.67,29.24,69.6,2.27,2.35,0.8,3.86,6.74,0.87,0.3,0.83,1.1,1.48,,,,,,,,,,,,,,
Merlin Röhl,MF,,Both,191cm,73kg,"July 5, 2002",Germany,Freiburg,"2,308",2024.0,,,,,,,0.15,0.15,1.76,0.2,0.13,0.28,2.64,28.73,79.4,2.2,2.84,1.13,2.74,5.38,1.71,0.64,1.71,1.17,1.22,,,,,,,,,,,,,,
Michael Gregoritsch,FW-MF,(AM-WM),Left,193cm,74kg,"April 18, 1994",Austria,Freiburg,"21,923",2024.0,,,,,,,0.55,0.57,4.21,0.23,0.06,0.63,2.33,22.67,60.3,1.78,0.82,0.27,5.53,4.85,0.82,0.46,0.82,1.23,5.12,,,,,,,,,,,,,,
Jordy Makengo,DF,,Left,183cm,78kg,"August 3, 2001",France,Freiburg,"3,077",2024,,,,,,,0.0,0.02,0.3,0.08,0.04,0.07,1.51,42.01,82.0,3.78,2.12,1.14,0.76,3.1,1.21,1.14,1.29,2.65,1.21,,,,,,,,,,,,,,
Yannik Keitel,MF,,Right,185cm,82kg,"February 15, 2000",Germany,Freiburg,"2,308",2024.0,,,,,,,0.11,0.08,0.79,0.0,0.06,0.14,1.24,46.92,76.6,4.3,0.45,0.34,1.24,1.02,1.36,1.47,1.47,3.51,2.37,,,,,,,,,,,,,,
Noah Weißhaupt,MF,,Right,181cm,73kg,"September 20, 2001",Germany,Freiburg,"2,308",2024.0,,,,,,,0.14,0.08,0.78,0.14,0.13,0.21,3.75,46.59,73.1,2.9,5.17,1.27,2.41,8.5,0.99,0.92,0.64,1.27,0.28,,,,,,,,,,,,,,
Maximilian Philipp,FW-MF,(AM),Right,184cm,77kg,"March 1, 1994",Germany,Freiburg,"40,385",2024.0,,,,,,,0.32,0.14,2.21,0.0,0.08,0.24,3.47,30.63,77.3,1.74,0.47,0.63,3.47,6.16,1.42,0.63,1.58,0.63,1.42,,,,,,,,,,,,,,
Attila Szalai,DF-MF,"(CB,",Left,192cm,84kg,"January 20, 1998",Hungary,Freiburg,"38,462",2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior Adamu,FW,,Right,182cm,74kg,"June 6, 2001",Austria,Freiburg,,2028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florent Muslija,FW-MF,(AM),Right,172cm,64kg,"July 6, 1998",Kosovo,Freiburg,"10,577",2028.0,,,,,,,0.39,0.2,2.97,0.34,0.34,0.54,5.94,45.64,75.2,5.94,4.26,2.07,2.69,6.38,1.34,0.22,0.67,0.5,0.28,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florian Müller,GK,,Left,192cm,82kg,"November 13, 1997",Germany,Freiburg,"9,615",2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keven Schlotterbeck,DF,(CB),Left,189cm,83kg,"April 28, 1997",Germany,Bochum,"10,385",2024.0,,,,,,,0.23,0.09,1.06,0.05,0.04,0.13,0.96,43.23,77.6,3.86,0.46,0.09,2.62,0.6,1.56,1.19,1.38,4.41,4.73,,,,,,,,,,,,,,
Finn Dahmen,GK,,Right,186cm,79kg,"March 27, 1998",Germany,Augsburg,"16,154",2026.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,1.72,70.8,0.25,33.3,9.4,46.22,31.4,5.94,45.3,6.3,1.47,14.1,
Phillip Tietz,FW,,Right,190cm,71kg,"July 9, 1997",Germany,Augsburg,"14,423",2027.0,,,,,,,0.34,0.33,2.06,0.17,0.09,0.42,2.06,20.54,61.6,1.72,0.77,0.51,4.97,4.5,0.86,0.26,0.69,1.46,3.94,,,,,,,,,,,,,,
Jeffrey Gouweleeuw,DF,(CB),Right,187cm,78kg,"July 10, 1991",Netherlands,Augsburg,"23,654",2025.0,,,,,,,0.03,0.04,0.6,0.0,0.03,0.07,1.04,51.59,76.7,4.5,1.07,0.5,1.11,0.64,1.07,1.07,1.41,4.06,1.98,,,,,,,,,,,,,,
Kevin Mbabu,DF,"(FB,",Right,184cm,79kg,"April 19, 1995",Switzerland,Augsburg,"46,538",2024.0,,,,,,,0.0,0.01,0.15,0.1,0.08,0.08,2.38,45.43,62.9,3.75,2.99,1.37,1.37,4.31,2.38,1.16,1.32,2.28,1.16,,,,,,,,,,,,,,
Mads Pedersen,DF-MF,"(FB,",Left,180cm,73kg,"September 1, 1996",Denmark,Augsburg,"15,385",2027.0,,,,,,,0.05,0.03,0.56,0.05,0.08,0.11,2.11,41.84,73.0,3.09,2.81,1.22,0.66,3.65,2.53,0.94,1.22,2.25,0.47,,,,,,,,,,,,,,
Iago,DF-MF,"(FB,",Left,182cm,68kg,"March 23, 1997",Brazil,Augsburg,"19,231",2024.0,,,,,,,0.06,0.09,1.0,0.06,0.1,0.18,2.5,42.63,72.8,3.0,1.44,1.12,2.0,2.87,1.69,0.87,2.06,2.5,1.19,,,,,,,,,,,,,,
Arne Engels,MF,,Right,184cm,71kg,"September 8, 2003",Belgium,Augsburg,"2,308",2027,,,,,,,0.17,0.1,1.25,0.11,0.09,0.19,2.73,37.65,65.7,3.36,1.37,0.4,1.08,3.7,1.71,0.74,1.59,1.42,0.68,,,,,,,,,,,,,,
Maximilian Bauer,DF,(CB),Right,189cm,83kg,"February 9, 2000",Germany,Augsburg,"5,769",2027.0,,,,,,,0.09,0.13,0.36,0.0,0.0,0.13,0.63,48.48,83.1,2.53,0.45,0.18,0.54,0.09,2.08,0.9,1.53,3.43,2.17,,,,,,,,,,,,,,
Arne Maier,MF,(CM),Right,183cm,78kg,"January 8, 1999",Germany,Augsburg,"19,231",2025.0,,,,,,,0.26,0.13,1.85,0.18,0.12,0.26,4.15,48.35,71.0,5.12,1.59,1.24,2.21,5.56,1.41,0.71,1.5,1.41,0.53,,,,,,,,,,,,,,
Sven Michel,FW-MF,,Left,178cm,74kg,"July 15, 1990",Germany,Augsburg,"13,269",2025.0,,,,,,,0.16,0.14,2.04,0.31,0.11,0.24,2.04,26.81,56.7,1.88,1.25,1.57,5.33,6.59,0.94,0.0,0.16,0.63,2.98,,,,,,,,,,,,,,
Patric Pfeiffer,DF,"(CB,",Both,196cm,91kg,"August 20, 1999",Germany,Augsburg,"11,538",2027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Breithaupt,MF,,Right,192cm,78kg,"February 7, 2002",Germany,Augsburg,"9,615",2028.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pep Biel,FW-MF,(AM),Left,167cm,63kg,"September 5, 1996",Spain,Augsburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximilian Beier,FW-MF,,Both,183cm,71kg,"October 17, 2002",Germany,Hoffenheim,"19,231",2027.0,,,,,,,0.55,0.42,3.13,0.04,0.09,0.51,2.96,20.24,67.4,1.1,2.37,1.27,5.46,8.38,0.76,0.17,0.76,0.51,0.85,,,,,,,,,,,,,,
Ozan Kabak,DF,"(CB,",Right,186cm,86kg,"March 25, 2000",Turkey,Hoffenheim,"60,577",2026.0,,,,,,,0.11,0.05,0.64,0.0,0.04,0.09,0.79,50.03,84.2,3.94,0.94,0.34,0.98,0.34,1.88,1.62,1.84,4.28,2.33,,,,,,,,,,,,,,
Anton Stach,MF,(CM),Right,193cm,86kg,"November 15, 1998",Germany,Hoffenheim,"36,538",2027.0,,,,,,,0.07,0.07,1.46,0.11,0.12,0.19,2.59,48.3,77.4,5.18,1.99,1.17,1.17,2.2,2.56,2.59,1.42,2.38,2.09,,,,,,,,,,,,,,
Wout Weghorst,FW,,Right,197cm,83kg,"August 7, 1992",Netherlands,Hoffenheim,"40,769",2024.0,,,,,,,0.26,0.3,1.75,0.13,0.17,0.47,3.37,26.76,72.5,2.63,0.7,0.22,4.82,5.91,0.79,0.26,1.14,1.01,2.89,,,,,,,,,,,,,,
Grischa Prömel,MF,(CM-DM),Right,180cm,74kg,"January 9, 1995",Germany,Hoffenheim,"16,154",2026.0,,,,,,,0.16,0.15,1.01,0.2,0.11,0.26,1.69,36.77,78.6,3.74,1.53,0.48,1.61,2.49,1.37,0.84,1.09,1.61,0.93,,,,,,,,,,,,,,
Florian Grillitsch,DF-MF,(CM-DM),Right,186cm,73kg,"August 7, 1995",Austria,Hoffenheim,"48,077",2026.0,,,,,,,0.05,0.06,0.93,0.14,0.05,0.11,2.28,64.33,85.4,5.53,1.35,0.51,0.37,0.88,2.0,1.95,1.53,3.72,1.35,,,,,,,,,,,,,,
John Brooks,DF,"(CB,",Left,193cm,78kg,"January 28, 1993",United,Hoffenheim,"28,846",2024.0,,,,,,,0.09,0.13,0.63,0.0,0.0,0.13,0.41,51.99,83.4,3.08,0.23,0.14,0.77,0.05,1.54,1.31,1.63,6.88,2.81,,,,,,,,,,,,,,
Kevin Vogt,DF-MF,(CB-DM),Right,194cm,84kg,"September 23, 1991",Germany,Union Berlin,"21,154",2024.0,,,,,,,0.0,0.02,0.11,0.0,0.0,0.03,1.16,57.06,87.5,4.34,0.6,0.21,0.28,0.46,0.78,0.53,1.23,4.27,0.71,,,,,,,,,,,,,,
Ihlas Bebou,FW-MF,(AM),Right,183cm,72kg,"April 23, 1994",Togo,Hoffenheim,"51,923",2026.0,,,,,,,0.4,0.26,2.02,0.15,0.11,0.36,2.62,28.24,69.6,1.92,2.07,1.31,4.13,7.56,1.41,0.71,0.55,1.21,1.82,,,,,,,,,,,,,,
Robert Skov,DF-FW-MF,(WM),Left,183cm,78kg,"May 20, 1996",Denmark,Hoffenheim,"34,615",2024.0,,,,,,,0.21,0.12,2.21,0.28,0.13,0.26,3.11,52.09,73.8,5.12,1.87,0.62,3.04,6.78,1.94,0.69,1.18,1.52,1.11,,,,,,,,,,,,,,
Marius Bülter,DF-FW-MF,"(AM,",Right,188cm,82kg,"March 29, 1993",Germany,Hoffenheim,"40,385",2026.0,,,,,,,0.13,0.18,1.75,0.19,0.23,0.4,3.38,40.52,68.2,3.32,2.63,1.13,3.88,7.33,0.88,0.63,1.13,1.32,1.63,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.0,0.04,1.27,0.2,0.12,0.16,2.35,35.94,87.2,4.11,1.66,0.2,0.78,2.55,1.18,0.59,0.98,1.27,0.2,,,,,,,,,,,,,,
Kevin Akpoguma,DF,(CB),Right,192cm,83kg,"April 19, 1995",Nigeria,Hoffenheim,"28,846",2026.0,,,,,,,0.0,0.0,0.17,0.0,0.01,0.02,0.67,55.62,83.9,4.43,0.67,0.42,0.33,0.67,2.59,1.42,1.76,3.6,2.01,,,,,,,,,,,,,,
Finn Ole Becker,MF,(CM),Left,177cm,73kg,"June 8, 2000",Germany,Hoffenheim,"6,923",2026.0,,,,,,,0.0,0.04,0.91,0.0,0.04,0.08,2.2,47.72,75.1,4.66,1.81,0.78,0.91,3.75,1.55,0.26,1.16,1.42,0.78,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.0,0.02,0.52,0.0,0.09,0.1,1.39,50.14,60.4,2.26,1.57,0.7,1.04,4.53,3.13,0.7,1.39,4.0,0.52,,,,,,,,,,,,,,
Tom Bischof,MF,,,176cm,66kg,"June 28, 2005",Germany,Hoffenheim,"2,308",2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Geiger,MF,(CM),Right,172cm,64kg,"June 10, 1998",Germany,Hoffenheim,"41,538",2027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bambasé Conté,FW,,,178cm,76kg,"July 7, 2003",Germany,Hoffenheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luca Philipp,GK,,Right,192cm,83kg,"November 28, 2000",Germany,Hoffenheim,"3,462",2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nahuel Noll,GK,,,188cm,74kg,"March 17, 2003",Germany,Hoffenheim,769,2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Müller,GK,,Right,190cm,89kg,"March 15, 1991",Germany,Heidenheim,"21,154",2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,1.73,71.0,0.26,12.5,16.7,45.4,37.4,9.43,46.0,5.0,0.53,13.3,
Vitus Eicher,GK,,Left,191cm,79kg,"November 5, 1990",Germany,Heidenheim,"5,192",2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Ducksch,FW,,Right,188cm,72kg,"March 7, 1994",Germany,Werder Bremen,"43,462",2026.0,,,,,,,0.26,0.26,2.37,0.19,0.22,0.48,3.41,31.54,59.2,2.83,0.49,0.45,3.41,4.84,0.26,0.16,0.16,0.88,0.65,,,,,,,,,,,,,,
Mitchell Weiser,DF-FW-MF,"(FB-WM,",Right,176cm,67kg,"April 21, 1994",Germany,Werder Bremen,"38,077",2024.0,,,,,,,0.1,0.11,1.35,0.24,0.16,0.27,2.85,48.49,73.8,3.58,2.71,1.8,2.78,5.97,2.36,0.59,1.35,1.42,0.66,,,,,,,,,,,,,,
Romano Schmid,MF,(CM),Right,174cm,64kg,"January 27, 2000",Austria,Werder Bremen,"6,923",2024.0,,,,,,,0.11,0.17,1.2,0.18,0.2,0.38,3.63,41.01,77.1,4.8,2.33,1.34,2.15,5.64,1.06,0.32,1.23,0.6,0.88,,,,,,,,,,,,,,
Anthony Jung,DF-MF,"(FB,",Left,186cm,83kg,"November 3, 1991",Germany,Werder Bremen,"22,115",2025.0,,,,,,,0.0,0.0,0.14,0.0,0.01,0.02,0.98,60.0,84.5,3.52,0.94,0.14,0.31,1.19,1.29,0.77,1.29,3.56,1.53,,,,,,,,,,,,,,
Michael Zetterer,GK,,Right,187cm,78kg,"July 12, 1995",Germany,Werder Bremen,"3,462",2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,1.43,72.5,0.31,0.0,21.7,43.57,28.7,4.83,37.7,8.3,0.96,14.2,
Senne Lynen,MF,(CM),Right,Born:,February,National Team: Belgium,Werder,"€ 21,154 Weekly Expires June 2024. Via Capology.",,,,,,,,,0.0,0.02,0.55,0.18,0.1,0.12,1.27,42.6,81.3,3.03,0.49,0.49,0.49,1.34,3.4,2.12,2.18,2.79,0.55,,,,,,,,,,,,,,
Felix Agu,DF-MF,,Right,180cm,73kg,"September 27, 1999",Germany,Werder Bremen,"11,538",2025.0,,,,,,,0.0,0.04,0.49,0.0,0.02,0.07,1.19,35.21,70.5,1.68,1.89,0.7,1.26,4.63,2.67,0.77,1.33,2.39,0.91,,,,,,,,,,,,,,
Leonardo Bittencourt,FW-MF,(AM-CM),Right,171cm,63kg,"December 19, 1993",Germany,Werder Bremen,"48,077",2024.0,,,,,,,0.11,0.14,1.88,0.06,0.12,0.26,2.27,43.81,80.0,4.87,3.27,1.05,1.77,3.93,3.21,0.66,1.16,0.55,0.5,,,,,,,,,,,,,,
Olivier Deman,DF-FW-MF,,Left,181cm,73kg,"April 6, 2000",Belgium,Werder Bremen,"14,423",2024.0,,,,,,,0.07,0.06,1.02,0.07,0.05,0.11,1.9,47.92,74.4,2.65,1.7,0.68,1.76,3.39,1.9,0.88,1.63,2.99,0.95,,,,,,,,,,,,,,
Niklas Stark,DF-MF,(CB-DM),Right,189cm,73kg,"April 14, 1995",Germany,Werder Bremen,"27,692",2026.0,,,,,,,0.12,0.01,0.24,0.0,0.0,0.01,0.55,46.0,80.1,2.48,0.36,0.06,0.18,0.06,2.18,1.39,1.45,5.15,2.61,,,,,,,,,,,,,,
Nick Woltemade,FW,,Right,187cm,79kg,"February 14, 2002",Germany,Werder Bremen,"3,654",2024.0,,,,,,,0.0,0.15,1.32,0.0,0.14,0.28,4.26,31.42,73.9,2.74,1.72,2.33,3.85,5.78,2.64,0.2,0.71,1.62,2.43,,,,,,,,,,,,,,
Christian Groß,DF-MF,(CM-DM),Right,183cm,74kg,"February 8, 1989",Germany,Werder Bremen,"15,000",2024.0,,,,,,,0.0,0.04,0.46,0.09,0.04,0.07,0.83,50.4,85.2,4.25,1.66,0.37,0.83,0.46,2.22,1.29,1.48,2.58,1.48,,,,,,,,,,,,,,
Julián Malatini,DF,,,Born:,May,Argentina ar,Werder,"€ 8,654 Weekly Expires June 2024. Via Capology.",,,,,,,,,0.15,0.15,0.45,0.0,0.03,0.18,0.9,54.42,81.0,4.04,1.35,0.9,0.9,1.05,2.69,1.94,1.2,3.89,1.35,,,,,,,,,,,,,,
Dawid Kownacki,FW-MF,,Right,185cm,74kg,"March 14, 1997",Poland,Werder Bremen,"30,769",2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moritz Nicolas,GK,,Right,190cm,87kg,"October 21, 1997",Germany,Mönchengladbach,"20,000",2029.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15,1.88,70.7,0.27,0.0,12.0,41.0,25.4,5.76,41.4,4.7,0.76,12.8,
Nico Elvedi,DF,(CB-FB),Right,188cm,73kg,"September 30, 1996",Switzerland,Mönchengladbach,"67,308",2027.0,,,,,,,0.07,0.06,0.68,0.03,0.0,0.06,0.74,62.41,89.0,3.96,1.22,0.17,0.98,0.24,1.12,1.35,1.42,4.81,2.74,,,,,,,,,,,,,,
Luca Netz,DF-MF,,Left,180cm,72kg,"May 15, 2003",Germany,Mönchengladbach,"46,154",2026.0,,,,,,,0.04,0.08,0.8,0.19,0.11,0.19,2.79,47.51,78.1,3.02,1.84,1.03,1.8,4.25,1.72,0.92,1.26,2.95,1.34,,,,,,,,,,,,,,
Joe Scally,DF,"(FB,",Right,179cm,74kg,"December 31, 2002",United,Mönchengladbach,"23,077",2027.0,,,,,,,0.05,0.02,0.46,0.14,0.05,0.07,1.14,55.18,79.9,3.34,1.56,0.46,0.59,2.88,1.65,0.78,1.14,3.2,0.87,,,,,,,,,,,,,,
Rocco Reitz,MF,,Both,165cm,63kg,"May 29, 2002",Germany,Mönchengladbach,"13,846",2028.0,,,,,,,0.3,0.16,1.31,0.1,0.1,0.26,2.82,41.68,74.4,4.83,1.91,0.96,1.96,2.56,2.36,1.71,2.66,1.46,0.35,,,,,,,,,,,,,,
Florian Neuhaus,MF,(CM-DM),Right,182cm,73kg,"March 16, 1997",Germany,Mönchengladbach,"76,923",2027.0,,,,,,,0.18,0.22,2.72,0.12,0.14,0.37,3.72,43.52,83.7,5.67,2.19,0.71,2.6,3.48,1.24,1.12,0.53,0.47,0.35,,,,,,,,,,,,,,
Ko Itakura,DF,(CB),Right,186cm,82kg,"January 27, 1997",Japan,Mönchengladbach,"36,346",2026.0,,,,,,,0.18,0.07,1.11,0.0,0.02,0.09,0.88,55.51,88.7,2.28,0.76,0.18,1.52,0.47,2.22,1.4,1.75,3.5,2.1,,,,,,,,,,,,,,
Marvin Friedrich,DF,"(CB,",Right,193cm,78kg,"December 13, 1995",Germany,Mönchengladbach,"38,462",2026.0,,,,,,,0.0,0.04,0.72,0.0,0.01,0.05,0.84,56.07,84.7,1.8,0.06,0.18,1.14,0.18,1.32,0.6,1.74,5.03,2.39,,,,,,,,,,,,,,
Robin Hack,FW-MF,(AM),Right,176cm,68kg,"August 27, 1998",Germany,Mönchengladbach,"11,538",2027.0,,,,,,,0.66,0.27,2.97,0.16,0.16,0.42,3.21,35.03,73.9,2.8,2.97,1.65,4.2,7.01,0.82,1.07,1.07,1.57,1.15,,,,,,,,,,,,,,
Stefan Lainer,DF-MF,"(FB,",Right,176cm,69kg,"August 27, 1992",Austria,Mönchengladbach,"44,231",2024.0,,,,,,,0.0,0.08,0.53,0.09,0.11,0.19,2.31,59.94,79.4,5.14,1.77,0.18,1.95,4.79,2.57,1.15,1.51,3.46,0.89,,,,,,,,,,,,,,
Patrick Herrmann,FW-MF,"(AM,",Right,177cm,60kg,"February 12, 1991",Germany,Mönchengladbach,"32,692",2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabio Chiarodia,DF,,,186cm,79kg,"June 5, 2005",Italy,Mönchengladbach,"5,385",2027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan Olschowsky,GK,,Right,182cm,77kg,"November 18, 2001",Germany,Mönchengladbach,"6,923",2027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Sippel,GK,,Right,180cm,77kg,"March 22, 1988",Germany,Mönchengladbach,"11,538",2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonas Wind,FW-MF,,Right,190cm,82kg,"February 7, 1999",Denmark,Wolfsburg,"39,231",2026.0,,,,,,,0.4,0.33,2.31,0.23,0.17,0.51,2.51,23.44,69.0,2.98,0.47,0.5,3.72,4.19,0.5,0.1,0.54,0.7,3.18,,,,,,,,,,,,,,
Maxence Lacroix,DF,"(CB,",Right,190cm,88kg,"April 6, 2000",France,Wolfsburg,"69,615",2025.0,,,,,,,0.13,0.03,0.4,0.04,0.03,0.06,0.88,56.54,84.8,3.3,0.22,0.22,0.75,0.18,1.76,0.97,1.41,4.66,2.37,,,,,,,,,,,,,,
Lovro Majer,MF,,Left,176cm,74kg,"January 17, 1998",Croatia,Wolfsburg,"90,769",2028.0,,,,,,,0.15,0.18,1.62,0.23,0.17,0.35,3.66,43.94,72.9,5.55,2.93,1.27,3.05,6.24,1.73,0.39,0.93,0.46,0.42,,,,,,,,,,,,,,
Mattias Svanberg,MF,(CM-DM),Right,185cm,74kg,"January 5, 1999",Sweden,Wolfsburg,"54,423",2027.0,,,,,,,0.05,0.18,2.12,0.18,0.14,0.32,2.95,40.81,70.8,4.15,1.43,0.83,1.89,3.36,2.07,1.06,1.34,1.43,1.01,,,,,,,,,,,,,,
Moritz Jenz,DF,"(CB,",Right,189cm,78kg,"April 30, 1999",Germany,Wolfsburg,"26,923",2027.0,,,,,,,0.0,0.02,0.48,0.05,0.02,0.04,0.64,53.41,86.7,2.49,0.05,0.0,0.48,0.16,1.54,1.38,1.54,5.09,2.44,,,,,,,,,,,,,,
Ridle Baku,DF-FW-MF,"(FB,",Right,176cm,68kg,"April 8, 1998",Germany,Wolfsburg,"34,615",2025.0,,,,,,,0.04,0.07,1.02,0.09,0.16,0.23,2.6,49.56,75.9,3.88,1.75,0.9,2.35,6.27,1.79,0.9,1.15,2.3,1.02,,,,,,,,,,,,,,
Yannick Gerhardt,DF-MF,(AM-CM-WM),Left,184cm,81kg,"March 13, 1994",Germany,Wolfsburg,"69,231",2025.0,,,,,,,0.11,0.11,0.96,0.11,0.06,0.17,1.87,40.43,76.9,2.73,0.86,0.05,2.46,4.65,1.66,0.37,0.86,1.66,1.55,,,,,,,,,,,,,,
Sebastiaan Bornauw,DF,(CB),Right,191cm,81kg,"March 22, 1999",Belgium,Wolfsburg,"54,231",2026.0,,,,,,,0.06,0.05,0.67,0.0,0.02,0.07,0.5,55.53,88.4,3.63,0.28,0.34,1.17,0.06,1.51,1.34,1.4,4.58,1.51,,,,,,,,,,,,,,
Kevin Paredes,MF,,Left,168cm,63kg,"May 7, 2003",United,Wolfsburg,"17,308",2026.0,,,,,,,0.14,0.19,1.21,0.0,0.11,0.3,3.0,34.16,75.6,2.71,2.28,1.07,2.5,7.27,2.92,1.5,1.85,1.93,0.5,,,,,,,,,,,,,,
Aster Vranckx,MF,,Right,183cm,78kg,"October 4, 2002",Belgium,Wolfsburg,"54,423",2025.0,,,,,,,0.0,0.01,0.31,0.0,0.02,0.03,0.93,47.76,85.0,3.81,0.23,1.32,0.54,0.7,2.41,1.09,1.32,2.17,1.16,,,,,,,,,,,,,,
Tiago Tomás,FW,,Right,180cm,76kg,"June 16, 2002",Portugal,Wolfsburg,"28,846",2027.0,,,,,,,0.15,0.24,2.6,0.07,0.07,0.31,2.75,23.67,62.7,1.78,1.93,2.0,4.82,10.09,0.52,0.22,1.04,0.74,1.26,,,,,,,,,,,,,,
Pavao Pervan,GK,,Right,194cm,87kg,"November 13, 1987",Austria,Wolfsburg,"23,077",2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5,1.89,52.8,0.32,,22.2,34.89,33.5,4.11,39.6,0.8,0.33,12.1,
Kevin Behrens,FW,,Right,184cm,83kg,"February 3, 1991",Germany,Wolfsburg,"13,846",2024.0,,,,,,,0.22,0.34,2.42,0.04,0.08,0.42,2.31,24.58,62.8,3.12,0.84,0.33,4.85,6.24,0.66,0.4,0.84,1.4,6.36,,,,,,,,,,,,,,
Patrick Wimmer,FW-MF,,Right,182cm,76kg,"May 30, 2001",Austria,Wolfsburg,"38,462",2027.0,,,,,,,0.12,0.27,1.52,0.12,0.08,0.35,2.57,29.22,60.4,2.69,1.87,1.52,3.16,6.55,1.99,0.47,2.1,1.05,1.52,,,,,,,,,,,,,,
Amin Sarr,FW,,Right,188cm,83kg,"March 11, 2001",Sweden,Wolfsburg,"28,846",2024.0,,,,,,,0.0,0.15,1.99,0.15,0.08,0.23,1.53,28.06,72.1,2.3,1.38,0.77,3.53,7.21,1.07,0.31,1.07,0.61,2.91,,,,,,,,,,,,,,
